block	barrio	calle	altura	sameblock	distance	public	gasstation	bank	thefts	month	oneblock
319	Belgrano	Ciudad de la Paz	a2000	0	4	0	0	0	.5	5	0
293	Belgrano	Amenabar	a1600	0	6	0	0	0	0	5	0
139	Belgrano	Jose Hernandez	a2700/2800	0	4	0	0	0	0	5	0
294	Belgrano	Amenabar	a1700	0	5	0	0	0	0	5	0
296	Belgrano	Amenabar	a1900	0	3	0	0	0	0	5	0
101	Belgrano	Echeverria	a2700	0	1	0	0	0	.25	5	1
274	Belgrano	Moldes	a1900	0	2	0	0	0	0	5	0
127	Belgrano	La Pampa	a2800	0	3	0	0	0	0	5	0
100	Belgrano	Echeverria	a2600	0	2	0	0	0	1	5	0
98	Belgrano	Echeverria	a2400	0	4	0	0	0	.5	5	0
251	Belgrano	Vidal	a1900	0	1	0	0	0	.25	5	1
329	Belgrano	Elcano	a2800	0	5	0	0	0	0	5	0
339	Belgrano	Cabildo	a1700	0	7	0	0	1	0	5	0
338	Belgrano	Cabildo	a1600	0	6	0	0	0	0	5	0
84	Belgrano	Juramento	a2200	0	4	0	0	0	0	5	0
96	Belgrano	Echeverria	a2200	0	5	0	0	0	.5	5	0
368	Belgrano	Cuba	a1900	0	5	0	0	0	.25	5	0
97	Belgrano	Echeverria	a2300	0	5	0	0	1	.5	5	0
369	Belgrano	Cuba	a2000	0	4	0	0	0	.25	5	0
385	Belgrano	Arcos	a2000	0	3	0	0	0	0	5	0
85	Belgrano	Juramento	a2300	0	5	0	0	0	0	5	0
94	Belgrano	Echeverria	a2000	0	4	0	0	0	.25	5	0
425	Belgrano	Zavalia	a2100	0	3	0	0	0	.25	5	0
83	Belgrano	Juramento	a2100	0	3	0	0	0	0	5	0
424	Belgrano	Zavalia	a2000	0	4	0	0	0	.5	5	0
81	Belgrano	Juramento	a1900	0	4	1	0	0	.5	5	0
355	Belgrano	Vuelta de Obligad	a2100	0	4	0	0	0	0	5	0
353	Belgrano	Vuelta de Obligad	a1900	0	6	0	0	0	.5	5	0
400	Belgrano	O´Higgins	a1900	0	5	0	0	0	.25	5	0
401	Belgrano	O´Higgins	a2000	0	4	0	0	0	.5	5	0
93	Belgrano	Echeverria	a1900	0	5	0	0	0	.25	5	0
402	Belgrano	O´Higgins	a2100	0	3	0	0	0	.25	5	0
95	Belgrano	Echeverria	a2100	0	4	0	0	0	.25	5	0
386	Belgrano	Arcos	a2100	0	2	0	0	0	0	5	0
384	Belgrano	Arcos	a1900	0	4	0	0	0	0	5	0
370	Belgrano	Cuba	a2100	0	3	0	0	0	0	5	0
82	Belgrano	Juramento	a2000	0	3	0	0	1	.25	5	0
354	Belgrano	Vuelta de Obligad	a2000	0	5	0	0	0	.25	5	0
420	Belgrano	3 de Febrero	a2200	0	3	0	0	0	.25	5	0
105	Belgrano	Mcal. A. J. de Su	a1900	0	4	0	0	0	0	5	0
106	Belgrano	Mcal. A. J. de Su	a2000	0	5	0	0	0	0	5	0
107	Belgrano	Mcal. A. J. de Su	a2100	0	5	0	0	0	0	5	0
109	Belgrano	Mcal. A. J. de Su	a2300	0	6	0	0	1	.25	5	0
108	Belgrano	Mcal. A. J. de Su	a2200	0	6	0	0	0	.25	5	0
418	Belgrano	3 de Febrero	a2000	0	5	0	0	0	.25	5	0
417	Belgrano	3 de Febrero	a1900	0	4	0	0	0	0	5	0
419	Belgrano	3 de Febrero	a2100	0	4	0	0	0	.25	5	0
122	Belgrano	La Pampa	a2300	0	7	0	0	0	0	5	0
352	Belgrano	Vuelta de Obligad	a1800	0	7	0	0	0	.25	5	0
131	Belgrano	Jose Hernandez	a1900	0	2	0	0	0	0	5	0
366	Belgrano	Cuba	a1700	0	5	0	0	0	1	5	0
121	Belgrano	La Pampa	a2200	0	6	0	0	0	0	5	0
134	Belgrano	Jose Hernandez	a2200	0	5	0	0	0	0	5	0
367	Belgrano	Cuba	a1800	0	6	0	0	0	0	5	0
398	Belgrano	O´Higgins	a1700	0	3	0	0	0	0	5	0
120	Belgrano	La Pampa	a2100	0	5	0	0	1	0	5	0
118	Belgrano	La Pampa	a1900	0	3	0	0	0	0	5	0
132	Belgrano	Jose Hernandez	a2000	0	3	0	0	0	1	5	0
382	Belgrano	Arcos	a1700	0	4	0	0	0	0	5	0
383	Belgrano	Arcos	a1800	0	5	0	0	0	0	5	0
119	Belgrano	La Pampa	a2000	0	4	0	0	0	0	5	0
351	Belgrano	Vuelta de Obligad	a1700	0	6	0	0	0	0	5	0
397	Belgrano	O´Higgins	a1600	0	3	0	0	0	0	5	0
381	Belgrano	Arcos	a1600	0	4	1	0	0	1	5	0
399	Belgrano	O´Higgins	a1800	0	4	0	0	0	0	5	0
133	Belgrano	Jose Hernandez	a2100	0	4	0	0	0	0	5	0
135	Belgrano	Jose Hernandez	a2300	0	6	0	0	0	0	5	0
415	Belgrano	3 de Febrero	a1700	0	2	0	0	0	0	5	0
416	Belgrano	3 de Febrero	a1800	0	3	0	0	0	0	5	0
414	Belgrano	3 de Febrero	a1600	0	2	0	0	0	0	5	0
454	Belgrano	Luis Maria Campos	a1600	0	2	0	0	0	0	5	0
130	Belgrano	Jose Hernandez	a1800	0	1	0	0	0	0	5	1
434	Belgrano	11 de Septiembre	a1900	0	3	0	0	0	.25	5	0
128	Belgrano	Jose Hernandez	a1500/1600	0	1	0	0	0	0	5	1
438	Belgrano	Virrey Vertiz	a1600	0	2	0	0	0	0	5	0
440	Belgrano	Virrey Vertiz	a1800	0	3	0	0	0	0	5	0
431	Belgrano	11 de Septiembre	a1600	1	0	0	0	0	0	5	0
463	Belgrano	Libertador	a5400	0	4	0	0	0	0	5	0
116	Belgrano	La Pampa	a1700	0	2	0	0	0	0	5	0
441	Belgrano	Virrey Vertiz	a1900	0	4	0	0	0	0	5	0
446	Belgrano	Arribenos	a1600	0	1	0	0	0	0	5	1
115	Belgrano	La Pampa	a1600	0	2	0	0	0	0	5	0
432	Belgrano	11 de Septiembre	a1700	0	1	0	0	0	0	5	1
447	Belgrano	Arribenos	a1700	0	1	0	0	0	0	5	1
103	Belgrano	Mcal. A. J. de Su	a1600	0	4	0	0	0	0	5	0
442	Belgrano	Virrey Vertiz	a2000	0	5	0	0	0	0	5	0
439	Belgrano	Virrey Vertiz	a1700	0	2	0	0	0	0	5	0
92	Belgrano	Echeverria	a1800	0	4	0	0	0	.25	5	0
433	Belgrano	11 de Septiembre	a1800	0	2	0	0	0	0	5	0
129	Belgrano	Jose Hernandez	a1700	1	0	0	0	0	0	5	0
117	Belgrano	La Pampa	a1800	0	2	0	0	0	0	5	0
91	Belgrano	Echeverria	a1700	0	5	0	0	0	.25	5	0
104	Belgrano	Mcal. A. J. de Su	a1800	0	3	0	0	0	0	5	0
152	Belgrano	Virrey del Pino	a2800	0	5	0	0	0	0	5	0
149	Belgrano	Virrey del Pino	a2500	0	7	0	0	0	0	5	0
150	Belgrano	Virrey del Pino	a2600	0	6	0	0	0	0	5	0
148	Belgrano	Virrey del Pino	a2400	0	6	1	0	0	0	5	0
151	Belgrano	Virrey del Pino	a2700	0	5	0	0	0	0	5	0
147	Belgrano	Virrey del Pino	a2300	0	5	0	0	0	0	5	0
146	Belgrano	Virrey del Pino	a2200	0	4	0	0	0	0	5	0
144	Belgrano	Virrey del Pino	a2000	0	2	0	0	0	0	5	0
145	Belgrano	Virrey del Pino	a2100	0	3	0	0	0	0	5	0
143	Belgrano	Virrey del Pino	a1900	0	1	0	0	0	0	5	1
142	Belgrano	Virrey del Pino	a1800	0	1	1	0	0	0	5	1
141	Belgrano	Virrey del Pino	a1700	0	2	0	0	0	0	5	0
140	Belgrano	Virrey del Pino	a1600	0	3	0	0	0	0	5	0
789	Once	Azcuenaga	a600	0	1	0	0	0	0	6	1
871	Once	Cordoba	a2400	0	1	0	0	0	0	6	1
843	Once	Lavalle	a2300	1	0	0	0	1	0	6	0
795	Once	Pasteur	a400	0	1	0	0	0	0	6	1
798	Once	Pasteur	a700	0	1	0	0	0	1	6	1
796	Once	Pasteur	a500	0	1	0	0	0	0	6	1
851	Once	Tucuman	a2400	0	2	0	0	0	0	6	0
858	Once	Viamonte	a2400	0	1	0	0	1	0	6	1
790	Once	Azcuenaga	a700	1	0	0	0	0	0	6	0
788	Once	Azcuenaga	a500	0	1	0	0	1	0	6	1
797	Once	Pasteur	a600	1	0	0	0	0	0	6	0
787	Once	Azcuenaga	a400	0	1	0	0	1	.25	6	1
864	Once	San Luis	a2400	0	1	0	0	0	0	6	1
850	Once	Tucuman	a2300	0	1	0	0	0	0	6	1
844	Once	Lavalle	a2400	1	0	0	0	0	0	6	0
857	Once	Viamonte	a2300	1	0	0	0	0	0	6	0
870	Once	Cordoba	a2300	0	1	1	0	0	0	6	1
836	Once	Corrientes	a2400	0	2	0	0	1	.25	6	0
793	Once	Pasteur	a200	0	1	0	0	0	0	6	1
784	Once	Azcuenaga	a100	0	1	0	0	0	0	6	1
807	Once	Bartolome Mitre	a2300	0	2	0	0	0	0	6	0
815	Once	Tte. Gral. Peron	a2400	1	0	0	0	0	0	6	0
814	Once	Tte. Gral. Peron	a2300	0	1	0	0	0	0	6	1
794	Once	Pasteur	a300	0	1	0	0	0	0	6	1
783	Once	Azcuenaga	a0-100	0	2	0	0	0	0	6	0
799	Once	Rivadavia	a2300	0	3	0	0	0	0	6	0
791	Once	Pasteur	a0-100	0	3	0	0	0	0	6	0
800	Once	Rivadavia	a2400	0	3	1	0	1	0	6	0
823	Once	Sarmiento	a2400	0	2	0	0	0	0	6	0
785	Once	Azcuenaga	a200	0	1	0	0	0	0	6	1
835	Once	Corrientes	a2300	0	2	0	0	1	.25	6	0
808	Once	Bartolome Mitre	a2400	0	2	0	0	0	0	6	0
822	Once	Sarmiento	a2300	0	1	0	0	0	0	6	1
786	Once	Azcuenaga	a300	0	2	0	0	1	.25	6	0
792	Once	Pasteur	a100	0	2	0	0	0	0	6	0
782	Once	Larrea	a750-800	0	2	0	0	0	1	6	0
780	Once	Larrea	a600	0	2	0	0	0	0	6	0
781	Once	Larrea	a700-750	0	2	0	0	0	0	6	0
779	Once	Larrea	a500	0	1	0	0	0	0	6	1
778	Once	Larrea	a400	0	1	0	0	1	0	6	1
775	Once	Larrea	a100	0	1	0	0	0	0	6	1
774	Once	Larrea	a0-100	0	2	0	0	1	0	6	0
777	Once	Larrea	a300	0	2	0	0	0	0	6	0
776	Once	Larrea	a200	0	1	0	0	0	1	6	1
699	V. Crespo	Aguirre	a100	0	3	0	0	0	0	6	0
540	V. Crespo	Lavalleja	a400	0	3	0	0	0	0	6	0
698	V. Crespo	Aguirre	a0-100	0	4	0	0	0	0	6	0
700	V. Crespo	Aguirre	a200	0	2	0	0	0	0	6	0
688	V. Crespo	Velasco	a100	0	4	0	0	0	0	6	0
546	V. Crespo	Frias	a400	0	4	0	0	0	0	6	0
535	V. Crespo	Julian Alvarez	a500	0	2	0	0	0	0	6	0
541	V. Crespo	Lavalleja	a500	0	3	0	0	0	0	6	0
687	V. Crespo	Velasco	a0-100	0	4	0	0	0	0	6	0
701	V. Crespo	Aguirre	a300	0	2	0	0	0	0	6	0
534	V. Crespo	Julian Alvarez	a400	0	3	0	0	0	0	6	0
679	V. Crespo	Vera	a300	0	3	0	0	0	0	6	0
689	V. Crespo	Velasco	a200	0	3	0	0	0	0	6	0
739	Once	Ecuador	a700	0	1	0	0	0	0	6	1
860	Once	Viamonte	a2600	0	2	0	0	0	0	6	0
747	Once	Boulogne Sur Mer	a700	0	1	0	0	0	0	6	1
731	Once	Jean Jaures	a800	0	1	0	1	0	0	6	1
876	Once	Cordoba	a2700	0	1	0	0	0	0	6	1
759	Once	Pueyrredon	a900	0	2	0	0	0	0	6	0
863	Once	Viamonte	a2900	0	1	0	0	0	0	6	1
872	Once	Cordoba	a2500-2550	0	1	0	0	0	.25	6	1
771	Once	Paso	a600	0	2	0	0	1	0	6	0
873	Once	Cordoba	a2550-2600	0	1	0	0	1	.25	6	1
773	Once	Paso	a750-800	1	0	0	0	0	.25	6	0
859	Once	Viamonte	a2500	0	2	0	0	0	0	6	0
741	Once	Ecuador	a900	1	0	0	1	0	0	6	0
875	Once	Cordoba	a2650-2700	0	1	0	0	0	0	6	1
861	Once	Viamonte	a2700	0	2	0	0	0	0	6	0
772	Once	Paso	a700-750	0	1	0	0	0	0	6	1
869	Once	San Luis	a2900	0	1	0	0	0	0	6	1
874	Once	Cordoba	a2600-2650	0	1	0	0	0	0	6	1
748	Once	Boulogne Sur Mer	a800	0	1	0	0	0	0	6	1
749	Once	Boulogne Sur Mer	a900	1	0	0	0	0	0	6	0
758	Once	Pueyrredon	a800	0	2	1	0	0	0	6	0
867	Once	San Luis	a2700	0	1	0	0	0	0	6	1
865	Once	San Luis	a2500	0	1	0	0	0	0	6	1
866	Once	San Luis	a2600	0	1	0	0	0	0	6	1
862	Once	Viamonte	a2800	0	2	0	0	0	0	6	0
732	Once	Jean Jaures	a900	0	2	0	0	0	0	6	0
757	Once	Pueyrredon	a700	0	1	0	0	0	0	6	1
740	Once	Ecuador	a800	0	1	0	0	0	0	6	1
868	Once	San Luis	a2800	0	1	0	0	0	0	6	1
756	Once	Pueyrredon	a600	1	0	0	0	1	0	6	0
845	Once	Lavalle	a2500	0	1	0	0	0	0	6	1
745	Once	Boulogne Sur Mer	a500	0	1	0	0	0	0	6	1
738	Once	Ecuador	a600	1	0	0	0	0	0	6	0
849	Once	Lavalle	a2900	0	1	0	0	0	0	6	1
737	Once	Ecuador	a500	1	0	0	0	0	0	6	0
846	Once	Lavalle	a2600	0	1	1	0	0	0	6	1
770	Once	Paso	a500	0	1	0	0	0	0	6	1
848	Once	Lavalle	a2800	0	1	0	0	0	0	6	1
728	Once	Jean Jaures	a500	0	2	0	0	0	0	6	0
769	Once	Paso	a400	1	0	0	0	0	0	6	0
729	Once	Jean Jaures	a600	0	1	0	0	0	0	6	1
746	Once	Boulogne Sur Mer	a600	1	0	0	0	0	0	6	0
730	Once	Jean Jaures	a700	1	0	0	0	0	1	6	0
755	Once	Pueyrredon	a500	0	1	1	0	1	0	6	1
847	Once	Lavalle	a2700	0	1	0	0	0	0	6	1
852	Once	Tucuman	a2500	0	2	0	0	0	0	6	0
853	Once	Tucuman	a2600	0	1	0	0	0	0	6	1
854	Once	Tucuman	a2700	0	1	0	0	0	0	6	1
856	Once	Tucuman	a2900	0	1	0	0	0	0	6	1
855	Once	Tucuman	a2800	0	1	0	0	0	0	6	1
538	V. Crespo	Lavalleja	a200	0	1	0	0	0	.25	6	1
545	V. Crespo	Frias	a300	0	3	0	0	0	0	6	0
665	V. Crespo	Corrientes	a4800	0	3	0	0	0	0	6	0
690	V. Crespo	Velasco	a300	0	3	0	0	0	0	6	0
676	V. Crespo	Vera	a0-100	0	3	0	0	0	0	6	0
549	V. Crespo	Angel Gallardo	a100	0	3	0	0	0	0	6	0
547	V. Crespo	Angel Gallardo	a0-50	0	5	0	0	1	0	6	0
667	V. Crespo	Corrientes	a5000	0	3	0	0	1	0	6	0
533	V. Crespo	Julian Alvarez	a300	0	2	0	0	0	0	6	0
709	V. Crespo	Luis Maria Drago	a0-100	0	2	0	0	0	0	6	0
539	V. Crespo	Lavalleja	a300	0	2	0	0	0	.25	6	0
664	V. Crespo	Corrientes	a4700	0	4	0	0	0	0	6	0
677	V. Crespo	Vera	a100	0	2	0	0	0	.25	6	0
678	V. Crespo	Vera	a200	0	2	0	0	0	.25	6	0
666	V. Crespo	Corrientes	a4900	0	3	0	0	0	0	6	0
548	V. Crespo	Angel Gallardo	a50-100	0	4	0	0	0	0	6	0
710	V. Crespo	Luis Maria Drago	a100	0	1	0	0	0	0	6	1
544	V. Crespo	Frias	a200	0	2	0	0	0	0	6	0
550	V. Crespo	Angel Gallardo	a200	0	3	0	0	0	0	6	0
743	Once	Boulogne Sur Mer	a300	0	1	0	0	0	0	6	1
744	Once	Boulogne Sur Mer	a400	0	1	0	0	0	0	6	1
820	Once	Tte. Gral. Peron	a2900	1	0	1	0	0	0	6	0
832	Once	Valentin Gomez	a2800	0	1	0	0	1	0	6	1
735	Once	Ecuador	a300	0	1	0	0	1	0	6	1
812	Once	Bartolome Mitre	a2800/2900	0	3	0	0	0	.25	6	0
821	Once	Tte. Gral. Peron	a3000	0	1	0	0	0	0	6	1
734	Once	Ecuador	a200	0	1	0	0	0	0	6	1
736	Once	Ecuador	a400	0	1	0	0	0	0	6	1
724	Once	Jean Jaures	a0-100	0	3	0	0	0	0	6	0
819	Once	Tte. Gral. Peron	a2800	0	1	0	0	0	0	6	1
828	Once	Sarmiento	a2900	0	2	0	0	0	0	6	0
742	Once	Boulogne Sur Mer	a200	0	1	0	0	0	0	6	1
829	Once	Sarmiento	a3000	0	2	0	0	0	0	6	0
806	Once	Rivadavia	a3000	0	4	0	1	0	0	6	0
725	Once	Jean Jaures	a200	0	2	0	0	0	0	6	0
805	Once	Rivadavia	a2900	0	5	0	0	0	0	6	0
733	Once	Ecuador	a0-100	0	4	0	0	0	.25	6	0
834	Once	Valentin Gomez	a3000	0	1	0	0	1	0	6	1
804	Once	Rivadavia	a2800	0	4	0	0	1	0	6	0
833	Once	Valentin Gomez	a2900	1	0	0	0	0	0	6	0
827	Once	Sarmiento	a2800	0	2	0	0	0	0	6	0
813	Once	Bartolome Mitre	a3000	0	3	0	0	0	.25	6	0
726	Once	Jean Jaures	a300	0	2	0	0	0	0	6	0
727	Once	Jean Jaures	a400	0	2	1	1	0	0	6	0
841	Once	Corrientes	a2900	0	1	0	0	0	0	6	1
842	Once	Corrientes	a3000	0	1	0	0	0	0	6	1
840	Once	Corrientes	a2800	0	2	0	0	0	0	6	0
766	Once	Paso	a100	0	2	0	0	0	0	6	0
768	Once	Paso	a300	0	1	0	0	0	0	6	1
762	Once	Castelli	a200	0	3	0	0	0	.25	6	0
817	Once	Tte. Gral. Peron	a2600	0	2	0	0	0	.25	6	0
802	Once	Rivadavia	a2600	0	4	0	0	1	0	6	0
761	Once	Castelli	a100	0	3	0	0	0	.25	6	0
760	Once	Castelli	a0-100	0	4	0	0	0	0	6	0
811	Once	Bartolome Mitre	a2700	0	3	0	0	0	0	6	0
763	Once	Castelli	a300	0	3	0	0	0	0	6	0
826	Once	Sarmiento	a2700	0	3	0	0	0	0	6	0
764	Once	Castelli	a400	0	2	0	0	0	0	6	0
824	Once	Sarmiento	a2500	0	2	0	0	1	0	6	0
816	Once	Tte. Gral. Peron	a2500	0	1	0	0	0	0	6	1
803	Once	Rivadavia	a2700	0	4	0	0	0	0	6	0
809	Once	Bartolome Mitre	a2500	0	2	0	0	0	0	6	0
801	Once	Rivadavia	a2500	0	3	0	0	1	0	6	0
765	Once	Paso	a0-100	0	3	0	0	0	0	6	0
810	Once	Bartolome Mitre	a2600	0	3	0	0	0	0	6	0
825	Once	Sarmiento	a2600	0	3	0	0	1	0	6	0
831	Once	Valentin Gomez	a2700	0	2	0	0	0	0	6	0
818	Once	Tte. Gral. Peron	a2700	0	2	0	0	0	.25	6	0
767	Once	Paso	a200	0	2	0	0	0	0	6	0
830	Once	Valentin Gomez	a2600	0	2	0	0	0	0	6	0
837	Once	Corrientes	a2500	0	1	1	0	1	0	6	1
838	Once	Corrientes	a2600	0	1	0	0	1	0	6	1
839	Once	Corrientes	a2700	0	2	0	0	0	0	6	0
753	Once	Pueyrredon	a300	0	2	0	0	1	0	6	0
750	Once	Pueyrredon	a0-100	0	3	0	0	0	0	6	0
751	Once	Pueyrredon	a100	0	2	0	0	0	0	6	0
754	Once	Pueyrredon	a400	0	2	0	0	0	0	6	0
752	Once	Pueyrredon	a200	0	2	0	0	1	0	6	0
524	V. Crespo	Araoz	a500	0	3	0	0	0	0	6	0
522	V. Crespo	Araoz	a300	0	3	0	0	0	0	6	0
523	V. Crespo	Araoz	a400	0	4	0	0	0	0	6	0
592	V. Crespo	Honorio Pueyrredo	a1400	0	6	0	0	0	0	6	0
558	V. Crespo	Angel Gallardo	a1000	0	5	0	0	0	0	6	0
566	V. Crespo	Antezana	a400	0	3	0	0	0	0	6	0
596	V. Crespo	Honorio Pueyrredo	a1800	0	6	0	0	1	0	6	0
571	V. Crespo	Apolinario Figuer	a400	0	4	0	0	0	0	6	0
595	V. Crespo	Honorio Pueyrredo	a1700	0	5	0	0	0	0	6	0
583	V. Crespo	Tres Arroyos	a400	0	4	0	0	0	0	6	0
590	V. Crespo	Honorio Pueyrredo	a1200	0	4	0	0	0	0	6	0
561	V. Crespo	Ferrari	a400	0	3	0	0	0	0	6	0
597	V. Crespo	Valentin Virasoro	a1100	0	4	0	0	0	0	6	0
588	V. Crespo	R. E. de San Mart	a400	0	4	0	0	0	0	6	0
593	V. Crespo	Honorio Pueyrredo	a1500	0	5	0	0	0	0	6	0
594	V. Crespo	Honorio Pueyrredo	a1600	0	5	0	0	0	0	6	0
474	V. Crespo	J. B. Justo	a3200	0	4	0	0	0	.25	6	0
589	V. Crespo	Honorio Pueyrredo	a1100	0	4	0	0	0	0	6	0
591	V. Crespo	Honorio Pueyrredo	a1300	0	5	0	0	0	0	6	0
586	V. Crespo	Belaustegui	a400	0	4	0	0	0	0	6	0
580	V. Crespo	Galicia	a400	0	5	0	0	0	0	6	0
576	V. Crespo	Luis Viale	a400	0	5	0	0	0	.25	6	0
603	V. Crespo	Valentin Virasoro	a1700	0	4	0	0	0	0	6	0
605	V. Crespo	Valentin Virasoro	a1900	0	4	0	0	0	.25	6	0
602	V. Crespo	Valentin Virasoro	a1600	0	4	0	0	0	0	6	0
604	V. Crespo	Valentin Virasoro	a1800	0	4	0	0	0	0	6	0
601	V. Crespo	Valentin Virasoro	a1500	0	5	0	0	0	.25	6	0
600	V. Crespo	Valentin Virasoro	a1400	0	4	0	0	0	.25	6	0
599	V. Crespo	Valentin Virasoro	a1300	0	3	0	1	0	0	6	0
598	V. Crespo	Valentin Virasoro	a1200	0	3	0	0	0	0	6	0
637	V. Crespo	Munecas	a1000	0	2	0	1	0	0	6	0
585	V. Crespo	Belaustegui	a300	0	3	0	0	0	0	6	0
484	V. Crespo	Serrano	a100	0	1	0	0	0	0	6	1
613	V. Crespo	Olaya	a1800	0	3	0	0	0	0	6	0
493	V. Crespo	Gurruchaga	a200	0	1	0	0	0	.25	6	1
495	V. Crespo	Gurruchaga	a400	0	1	0	0	0	0	6	1
636	V. Crespo	Munecas	a900	0	1	0	0	0	0	6	1
611	V. Crespo	Olaya	a1600	0	3	0	0	0	1	6	0
722	V. Crespo	Warnes	a800	0	1	0	0	0	0	6	1
620	V. Crespo	Hidalgo	a1700	0	2	0	0	0	0	6	0
643	V. Crespo	Murillo	a1000	0	2	0	0	0	0	6	0
530	V. Crespo	Mahatma Gandhi	a600	0	3	0	0	0	0	6	0
582	V. Crespo	Tres Arroyos	a300	0	3	0	0	0	0	6	0
527	V. Crespo	Mahatma Gandhi	a300	0	2	0	0	0	0	6	0
632	V. Crespo	Martinez Rosas	a900	0	1	0	0	0	0	6	1
477	V. Crespo	Thames	a200	0	1	0	0	0	0	6	1
650	V. Crespo	Padilla	a800	0	1	0	0	0	1.25	6	1
485	V. Crespo	Serrano	a200	0	1	0	0	0	0	6	1
581	V. Crespo	Tres Arroyos	a100-300	0	2	0	0	0	0	6	0
612	V. Crespo	Olaya	a1700	0	3	0	0	0	1	6	0
526	V. Crespo	Mahatma Gandhi	a200	0	3	0	0	0	0	6	0
528	V. Crespo	Mahatma Gandhi	a400	0	2	0	0	0	0	6	0
651	V. Crespo	Padilla	a900	1	0	0	0	0	0	6	0
476	V. Crespo	Thames	a100	0	2	0	0	0	0	6	0
469	V. Crespo	J. B. Justo	a2700	0	2	0	0	0	0	6	0
468	V. Crespo	J. B. Justo	a2600	0	3	0	0	0	0	6	0
633	V. Crespo	Martinez Rosas	a1000	0	2	0	0	0	0	6	0
660	V. Crespo	Camargo	a700	0	1	0	0	0	0	6	1
475	V. Crespo	Thames	a0-100	0	2	0	0	0	0	6	0
662	V. Crespo	Camargo	a900	0	1	0	0	0	0	6	1
492	V. Crespo	Gurruchaga	a100	0	2	0	0	0	1	6	0
720	V. Crespo	Warnes	a600	0	2	0	0	0	0	6	0
641	V. Crespo	Murillo	a800	0	2	0	0	0	0	6	0
473	V. Crespo	J. B. Justo	a3100	0	3	0	0	0	.25	6	0
471	V. Crespo	J. B. Justo	a2900	0	3	0	0	0	0	6	0
661	V. Crespo	Camargo	a800	1	0	0	0	0	0	6	0
642	V. Crespo	Murillo	a900	0	2	0	0	0	0	6	0
721	V. Crespo	Warnes	a700	0	1	0	0	0	0	6	1
529	V. Crespo	Mahatma Gandhi	a500	0	2	0	0	0	0	6	0
587	V. Crespo	R. E. de San Mart	a300	0	3	0	0	0	0	6	0
584	V. Crespo	Belaustegui	a200	0	2	0	0	0	0	6	0
649	V. Crespo	Padilla	a700	0	1	0	0	0	.25	6	1
479	V. Crespo	Thames	a400	0	2	0	1	0	0	6	0
470	V. Crespo	J. B. Justo	a2800	0	2	0	0	0	0	6	0
472	V. Crespo	J. B. Justo	a3000	0	3	0	0	0	0	6	0
478	V. Crespo	Thames	a300	0	1	0	0	0	0	6	1
483	V. Crespo	Serrano	a0-100	1	0	0	0	0	0	6	0
491	V. Crespo	Gurruchaga	a0-100	0	2	0	0	0	0	6	0
486	V. Crespo	Serrano	a300	1	0	0	0	0	0	6	0
619	V. Crespo	Hidalgo	a1600	0	3	0	0	0	0	6	0
634	V. Crespo	Munecas	a700	0	2	0	0	0	0	6	0
640	V. Crespo	Murillo	a700	0	1	0	0	0	0	6	1
627	V. Crespo	Acoyte	a1600	0	2	0	0	0	0	6	0
635	V. Crespo	Munecas	a800	0	1	0	0	0	0	6	1
652	V. Crespo	Padilla	a1000	0	1	0	1	0	0	6	1
663	V. Crespo	Camargo	a1000	0	2	0	1	0	0	6	0
494	V. Crespo	Gurruchaga	a300	1	0	0	0	0	.25	6	0
723	V. Crespo	Warnes	a900	0	2	0	0	1	0	6	0
487	V. Crespo	Serrano	a400	0	1	0	0	0	0	6	1
500	V. Crespo	Acevedo	a100	0	1	0	0	0	0	6	1
579	V. Crespo	Galicia	a300	0	4	0	0	0	0	6	0
502	V. Crespo	Acevedo	a300	0	1	0	0	0	0	6	1
577	V. Crespo	Galicia	a100	0	2	0	0	0	0	6	0
499	V. Crespo	Acevedo	a0-100	0	1	0	0	0	0	6	1
501	V. Crespo	Acevedo	a200	1	0	0	0	0	0	6	0
578	V. Crespo	Galicia	a200	0	3	0	0	0	0	6	0
532	V. Crespo	Julian Alvarez	a200	0	2	0	0	0	0	6	0
555	V. Crespo	Angel Gallardo	a700	0	4	0	0	1	.25	6	0
536	V. Crespo	Lavalleja	a0-100	0	1	0	0	0	0	6	1
658	V. Crespo	Camargo	a500	0	1	0	0	1	.25	6	1
717	V. Crespo	Warnes	a300	0	2	0	0	0	0	6	0
714	V. Crespo	Warnes	a0-100	0	2	0	0	0	0	6	0
552	V. Crespo	Angel Gallardo	a400	0	3	0	0	0	0	6	0
614	V. Crespo	Hidalgo	a1100	0	3	0	0	0	.25	6	0
608	V. Crespo	Olaya	a1300	0	2	0	0	0	0	6	0
644	V. Crespo	Padilla	a200	0	2	0	0	0	0	6	0
657	V. Crespo	Camargo	a400	0	2	0	0	0	0	6	0
506	V. Crespo	Malabia	a0-100	0	1	0	0	0	0	6	1
507	V. Crespo	Malabia	a100	0	1	0	0	0	0	6	1
509	V. Crespo	Malabia	a300	0	1	0	0	0	.25	6	1
551	V. Crespo	Angel Gallardo	a300	0	3	0	0	0	0	6	0
559	V. Crespo	Ferrari	a200	0	2	0	0	0	0	6	0
565	V. Crespo	Antezana	a300	0	2	0	0	0	0	6	0
525	V. Crespo	Julian Alvarez	a100	0	2	0	0	0	0	6	0
537	V. Crespo	Lavalleja	a100	1	0	0	0	0	0	6	0
